zone,container_id,width_cm,depth_cm,height_cm
Sanitation_Bay,SB01,25.0,42.5,200.0
Sanitation_Bay,SB02,100.0,85.0,200.0
Sanitation_Bay,SB03,100.0,85.0,200.0
Sanitation_Bay,SB04,200.0,85.0,200.0
Command_Center,CC01,100.0,85.0,200.0
Command_Center,CC02,100.0,170.0,200.0
Command_Center,CC03,100.0,85.0,200.0
Engineering_Bay,EB01,100.0,85.0,50.0
Engineering_Bay,EB02,25.0,85.0,200.0
Power_Bay,PB01,100.0,85.0,200.0
Power_Bay,PB02,200.0,21.25,100.0
Power_Bay,PB03,100.0,85.0,200.0
Power_Bay,PB04,100.0,42.5,200.0
Power_Bay,PB05,200.0,85.0,200.0
External_Storage,ES01,100.0,42.5,50.0
External_Storage,ES02,100.0,42.5,200.0
External_Storage,ES03,100.0,170.0,200.0
External_Storage,ES04,25.0,85.0,200.0
Lab,L01,100.0,21.25,400.0
Lab,L02,100.0,85.0,200.0
Lab,L03,100.0,85.0,200.0
Lab,L04,200.0,85.0,200.0
Storage_Bay,TA01,100.0,170.0,200.0
Storage_Bay,TA02,100.0,85.0,200.0
Storage_Bay,TA03,100.0,85.0,50.0
Engine_Bay,NA01,200.0,21.25,200.0
Engine_Bay,NA02,100.0,170.0,200.0
Engine_Bay,NA03,200.0,85.0,400.0
Life_Support,LS01,25.0,42.5,200.0
Life_Support,LS02,25.0,85.0,200.0
Life_Support,LS03,100.0,85.0,200.0
Life_Support,LS04,100.0,42.5,100.0
Life_Support,LS05,100.0,170.0,200.0
Maintenance_Bay,MB01,100.0,85.0,100.0
Maintenance_Bay,MB02,100.0,85.0,200.0
Maintenance_Bay,MB03,50.0,85.0,50.0
Maintenance_Bay,MB04,100.0,85.0,200.0
Crew_Quarters,CQ01,50.0,21.25,400.0
Crew_Quarters,CQ02,50.0,170.0,200.0
Crew_Quarters,CQ03,100.0,85.0,200.0
Crew_Quarters,CQ04,100.0,85.0,200.0
Medical_Bay,EA01,100.0,85.0,200.0
Medical_Bay,EA02,100.0,21.25,400.0
Medical_Bay,EA03,100.0,85.0,200.0
Cockpit,C01,100.0,85.0,200.0
Cockpit,C02,50.0,85.0,200.0
Cockpit,C03,100.0,85.0,200.0
Cockpit,C04,25.0,42.5,200.0
Cockpit,C05,100.0,21.25,200.0
Airlock,A01,100.0,170.0,200.0
Airlock,A02,100.0,85.0,200.0
Airlock,A03,100.0,170.0,400.0
Greenhouse,G01,200.0,85.0,200.0
Greenhouse,G02,100.0,85.0,400.0
Greenhouse,G03,100.0,85.0,400.0
Greenhouse,G04,100.0,42.5,200.0
